time	I(R5)
1.687570103825467e-04	4.210187e+00
1.691476353825467e-04	4.279152e+00
1.695382603825467e-04	4.345206e+00
1.699288853825467e-04	4.408291e+00
1.705148228825467e-04	4.497260e+00
1.711007603825468e-04	4.579336e+00
1.716866978825468e-04	4.654449e+00
1.722726353825468e-04	4.722570e+00
1.728306710968325e-04	4.780679e+00
1.733887068111182e-04	4.832754e+00
1.739467425254040e-04	4.878796e+00
1.745047782396897e-04	4.918803e+00
1.750628139539755e-04	4.952776e+00
1.756208496682612e-04	4.980715e+00
1.761788853825469e-04	5.002620e+00
1.767648228825469e-04	5.020065e+00
1.771554478825469e-04	5.028450e+00
1.775460728825469e-04	5.034326e+00
1.777413853825470e-04	5.036347e+00
1.779366978825470e-04	5.037771e+00
1.781320103825470e-04	5.038609e+00
1.783273228825470e-04	5.038870e+00
1.785226353825470e-04	5.038565e+00
1.787179478825470e-04	5.037705e+00
1.789132603825470e-04	5.036301e+00
1.791085728825470e-04	5.034364e+00
1.794991978825470e-04	5.028937e+00
1.798898228825470e-04	5.021515e+00
1.802804478825470e-04	5.012190e+00
1.808663853825470e-04	4.994842e+00
1.812570103825471e-04	4.981174e+00
1.818429478825471e-04	4.957758e+00
1.824288853825471e-04	4.931135e+00
1.830985282396900e-04	4.896057e+00
1.837681710968328e-04	4.858845e+00
1.844378139539757e-04	4.819499e+00
1.851074568111186e-04	4.778020e+00
1.857770996682615e-04	4.734407e+00
1.864467425254043e-04	4.688660e+00
1.871163853825472e-04	4.640779e+00
1.877023228825472e-04	4.598765e+00
1.882882603825473e-04	4.557085e+00
1.888741978825473e-04	4.515740e+00
1.894601353825473e-04	4.474728e+00
1.900460728825473e-04	4.434050e+00
1.906320103825473e-04	4.393707e+00
1.912179478825473e-04	4.353698e+00
1.916085728825473e-04	4.327827e+00
1.919991978825474e-04	4.302555e+00
1.923898228825474e-04	4.277882e+00
1.927804478825474e-04	4.253807e+00
1.931710728825474e-04	4.230331e+00
1.935616978825474e-04	4.207454e+00
1.939523228825474e-04	4.185176e+00
1.941476353825474e-04	4.174351e+00
1.943429478825474e-04	4.163708e+00
1.945382603825474e-04	4.153250e+00
1.947335728825474e-04	4.142982e+00
1.949288853825474e-04	4.132905e+00
1.951241978825474e-04	4.123024e+00
1.955148228825475e-04	4.103853e+00
1.959054478825475e-04	4.085489e+00
1.962960728825475e-04	4.067946e+00
1.968820103825475e-04	4.043199e+00
1.974679478825475e-04	4.020361e+00
1.980538853825475e-04	3.999453e+00
1.986398228825475e-04	3.980481e+00
1.987793318111190e-04	3.976250e+00
1.989188407396904e-04	3.972129e+00
1.990583496682619e-04	3.968116e+00
1.991978585968333e-04	3.964212e+00
1.993373675254047e-04	3.960418e+00
1.994768764539762e-04	3.956733e+00
1.996163853825476e-04	3.953156e+00
1.998116978825476e-04	3.948328e+00
2.000000000000000e-04	3.943825e+00
