time	V(vout)
1.003119195572843e-04	5.232217e+01
1.003395346691469e-04	3.548634e+01
1.003670526542817e-04	2.409701e+01
1.003946553463664e-04	1.634453e+01
1.004221853708657e-04	1.109598e+01
1.004497756148961e-04	7.526423e+00
1.004773149636744e-04	5.107944e+00
1.005048974716676e-04	3.464075e+00
1.005324436607284e-04	2.349752e+00
1.005600204650931e-04	1.592660e+00
1.005875714078486e-04	1.079270e+00
1.006151441615998e-04	7.305679e-01
1.006426985187963e-04	4.940498e-01
1.006702683984293e-04	3.334377e-01
1.006978251817176e-04	2.244777e-01
1.007253930124243e-04	1.504978e-01
1.007529515224852e-04	1.003030e-01
1.007805178958189e-04	6.622622e-02
1.008080776353228e-04	4.310327e-02
1.008356429714269e-04	2.740654e-02
1.008632035860214e-04	1.675476e-02
1.008907681840607e-04	9.524318e-03
1.009183294217687e-04	4.617526e-03
1.009458934948712e-04	1.286924e-03
1.009734551765994e-04	-9.733977e-04
1.010010188768479e-04	-2.507601e-03
1.010285808757279e-04	-3.548816e-03
1.010561443122562e-04	-4.255531e-03
1.010837065393014e-04	-4.735163e-03
1.011112697917155e-04	-5.060704e-03
1.011388321864372e-04	-5.281644e-03
1.011663953155914e-04	-5.431600e-03
1.011939578411208e-04	-5.533373e-03
1.012215208994382e-04	-5.602448e-03
1.012490835429563e-04	-5.649328e-03
1.012766465875263e-04	-5.681145e-03
1.013042093690478e-04	-5.702738e-03
1.013317724834389e-04	-5.717393e-03
1.013593354804733e-04	-5.727338e-03
1.013868988173554e-04	-5.734087e-03
1.014144622224049e-04	-5.738666e-03
1.014420260927992e-04	-5.741774e-03
1.014695903409230e-04	-5.743882e-03
1.014971554053679e-04	-5.745311e-03
1.015247214534030e-04	-5.746280e-03
1.015522891354856e-04	-5.746937e-03
1.015798590688943e-04	-5.747382e-03
1.016074324508237e-04	-5.747683e-03
1.016350108021309e-04	-5.747886e-03
1.016625965672348e-04	-5.748023e-03
1.016901931740925e-04	-5.748115e-03
1.017178058160045e-04	-5.748176e-03
1.017454420107274e-04	-5.748217e-03
1.017731129296404e-04	-5.748243e-03
1.018008349002323e-04	-5.748260e-03
1.018286319916196e-04	-5.748271e-03
1.018565394271173e-04	-5.748277e-03
1.018846088214158e-04	-5.748280e-03
1.019129154664950e-04	-5.748281e-03
1.019415688535552e-04	-5.748281e-03
1.019707271924576e-04	-5.748279e-03
1.020006175138057e-04	-5.748277e-03
1.020315632066669e-04	-5.748274e-03
1.020640196509733e-04	-5.748271e-03
1.020986232129039e-04	-5.748268e-03
1.021362602812481e-04	-5.748264e-03
1.021781694338181e-04	-5.748259e-03
1.022261136926909e-04	-5.748254e-03
1.022834138856255e-04	-5.748247e-03
1.024485707215169e-04	-5.748228e-03
1.050010000000000e-04	-5.747935e-03
1.050011428571429e-04	-5.747935e-03
1.050012857142857e-04	-5.747935e-03
1.050014285714286e-04	-5.747935e-03
1.050015714285714e-04	-5.747935e-03
1.050017142857143e-04	-5.747935e-03
1.050018571428571e-04	-5.747935e-03
1.050020000000000e-04	-5.747935e-03
2.000000000000000e-04	-5.737036e-03
2.000001000000000e-04	-5.737036e-03
2.000003000000000e-04	-5.737036e-03
2.000004003992032e-04	-5.737036e-03
2.000004605908022e-04	-5.737036e-03
2.000004821094629e-04	-5.737036e-03
2.000004933155514e-04	-5.737036e-03
2.000005000221525e-04	-5.737036e-03
2.000005059035571e-04	-5.737035e-03
2.000005117834340e-04	-5.737035e-03
2.000005181248901e-04	-5.737036e-03
2.000005240967683e-04	-5.737036e-03
2.000005302758830e-04	-5.737036e-03
2.000005362243900e-04	-5.737036e-03
2.000005423087129e-04	-5.737036e-03
2.000005482708555e-04	-5.737036e-03
2.000005543313340e-04	-5.737035e-03
2.000005603337058e-04	-5.737035e-03
2.000005664113910e-04	-5.737035e-03
2.000005724696222e-04	-5.737035e-03
2.000005785903582e-04	-5.737035e-03
2.000005847168608e-04	-5.737035e-03
2.000005909004956e-04	-5.737035e-03
2.000005971080711e-04	-5.737035e-03
2.000006033727278e-04	-5.737035e-03
2.000006096759637e-04	-5.737035e-03
2.000006160401477e-04	-5.737035e-03
2.000006224561057e-04	-5.737035e-03
2.000006289400141e-04	-5.737035e-03
2.000006354888464e-04	-5.737036e-03
2.000006421154845e-04	-5.737036e-03
2.000006488212497e-04	-5.737035e-03
2.000006556176734e-04	-5.737035e-03
2.000006625095431e-04	-5.737035e-03
2.000006695085034e-04	-5.737035e-03
2.000006766226215e-04	-5.737035e-03
2.000006838650163e-04	-5.737035e-03
